timestamp,image_path,name,ticker,price,trend
2025-12-08T21:02:28.309135Z,screenshots\hwnd_4983398\capture_20251209_020227_426.png,Robinhood Brave,APP,$689.76,down
2025-12-08T21:02:29.727115Z,screenshots\hwnd_4983398\capture_20251209_020229_311.png,Robinhood Brave,APP,$689.76,down
2025-12-08T21:02:31.216872Z,screenshots\hwnd_4983398\capture_20251209_020230_730.png,Robinhood Brave,APP,$689.76,down
2025-12-08T21:02:32.700739Z,screenshots\hwnd_4983398\capture_20251209_020232_218.png,Robinhood Brave,APP,$689.76,down
2025-12-08T21:03:04.000620Z,screenshots\hwnd_4983398\capture_20251209_020303_482.png,Robinhood Brave,APP,$689.76,down
2025-12-08T21:03:05.651262Z,screenshots\hwnd_4983398\capture_20251209_020305_002.png,Robinhood Brave,APP,$689.76,down
2025-12-08T21:03:07.273169Z,screenshots\hwnd_4983398\capture_20251209_020306_658.png,Robinhood Brave,APP,$689.76,down
2025-12-08T21:03:08.875024Z,screenshots\hwnd_4983398\capture_20251209_020308_275.png,Robinhood Brave,APP,$689.76,down
2025-12-08T21:25:28.885043Z,screenshots\hwnd_4983398\capture_20251209_022528_376.png,Robinhood Brave,APP,$689.11,down
2025-12-08T21:25:30.434814Z,screenshots\hwnd_4983398\capture_20251209_022529_887.png,Robinhood Brave,APP,$689.11,down
2025-12-08T21:25:32.979789Z,screenshots\hwnd_4983398\capture_20251209_022531_440.png,Robinhood Brave,APP,$689.11,down
2025-12-08T21:25:35.397413Z,screenshots\hwnd_4983398\capture_20251209_022534_095.png,Robinhood Brave,APP,$689.11,down
2025-12-08T21:25:37.906221Z,screenshots\hwnd_4983398\capture_20251209_022536_464.png,Robinhood Brave,APP,$689.11,down
2025-12-08T21:25:39.937832Z,screenshots\hwnd_4983398\capture_20251209_022538_921.png,Robinhood Brave,APP,$689.95,down
2025-12-08T21:25:42.043836Z,screenshots\hwnd_4983398\capture_20251209_022540_946.png,Robinhood Brave,APP,$689.95,down
2025-12-08T21:25:44.440539Z,screenshots\hwnd_4983398\capture_20251209_022543_096.png,Robinhood Brave,APP,$689.95,down
2025-12-08T21:25:46.466540Z,screenshots\hwnd_4983398\capture_20251209_022545_443.png,Robinhood Brave,APP,$689.95,down
2025-12-08T21:25:48.545973Z,screenshots\hwnd_4983398\capture_20251209_022547_475.png,Robinhood Brave,APP,$689.95,down
2025-12-08T21:25:50.319461Z,screenshots\hwnd_4983398\capture_20251209_022549_552.png,Robinhood Brave,APP,$689.95,down
2025-12-08T21:25:52.447777Z,screenshots\hwnd_4983398\capture_20251209_022551_376.png,Robinhood Brave,APP,$689.95,down
2025-12-08T21:25:54.972203Z,screenshots\hwnd_4983398\capture_20251209_022553_475.png,Robinhood Brave,APP,$689.95,down
2025-12-08T21:25:56.632084Z,screenshots\hwnd_4983398\capture_20251209_022555_974.png,Robinhood Brave,APP,$689.95,down
2025-12-08T21:25:58.108876Z,screenshots\hwnd_4983398\capture_20251209_022557_636.png,Robinhood Brave,APP,$689.95,down
2025-12-08T21:25:59.754616Z,screenshots\hwnd_4983398\capture_20251209_022559_110.png,Robinhood Brave,APP,$689.95,down
2025-12-08T21:26:01.475616Z,screenshots\hwnd_4983398\capture_20251209_022600_761.png,Robinhood Brave,APP,$689.95,down
2025-12-08T21:26:03.161067Z,screenshots\hwnd_4983398\capture_20251209_022602_477.png,Robinhood Brave,APP,$689.95,down
2025-12-08T21:26:04.670380Z,screenshots\hwnd_4983398\capture_20251209_022604_164.png,Robinhood Brave,APP,$689.95,down
2025-12-08T21:26:06.398607Z,screenshots\hwnd_4983398\capture_20251209_022605_672.png,Robinhood Brave,APP,$689.95,down
2025-12-08T21:26:07.973637Z,screenshots\hwnd_4983398\capture_20251209_022607_402.png,Robinhood Brave,APP,$689.95,down
